STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA_TYPE,Reference area type,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,VINTAGE,Vintage,DWELLINGS,Dwellings,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUS,Australia,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2016,,5.5,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUS,Australia,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2017,,8.349,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUS,Australia,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2018,,-1.438,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUS,Australia,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2019,,-4.065,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUS,Australia,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2020,,5.397,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUS,Australia,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2021,,17.423,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUT,Austria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2016,,6.705,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUT,Austria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2017,,5.089,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUT,Austria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2018,,5.97,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUT,Austria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2019,,6.006,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUT,Austria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2020,,7.579,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUT,Austria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2021,,11.438,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUT,Austria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2022,,11.573,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,AUT,Austria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2023,,-2.856,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BEL,Belgium,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2016,,2.33,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BEL,Belgium,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2017,,3.536,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BEL,Belgium,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2018,,3.017,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BEL,Belgium,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2019,,3.746,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BEL,Belgium,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2020,,4.287,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BEL,Belgium,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2021,,6.669,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BEL,Belgium,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2022,,5.53,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BEL,Belgium,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2023,,2.343,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BGR,Bulgaria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2016,,7.02,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BGR,Bulgaria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2017,,8.667,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BGR,Bulgaria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2018,,6.587,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.TPS:DSD_RHPI_TARGET@DF_RHPI_TARGET(1.0),"National and regional house price indices, headline indicators",I,COU,Country,BGR,Bulgaria,A,Annual,RHPI,House price index,PA,Percent per annum,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",_T,Total,_T,Total,2019,,6.02,,A,Normal value,0,Units,1,One,,
