Label (Grouping),"Anchorage, AK Metro Area!!Estimate","Anchorage, AK Metro Area!!Margin of Error","Colorado Springs, CO Metro Area!!Estimate","Colorado Springs, CO Metro Area!!Margin of Error","Houston-Pasadena-The Woodlands, TX Metro Area!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Margin of Error","Kansas City, MO-KS Metro Area!!Estimate","Kansas City, MO-KS Metro Area!!Margin of Error","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Margin of Error","New York-Newark-Jersey City, NY-NJ Metro Area!!Estimate","New York-Newark-Jersey City, NY-NJ Metro Area!!Margin of Error","Omaha, NE-IA Metro Area!!Estimate","Omaha, NE-IA Metro Area!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Margin of Error","Tucson, AZ Metro Area!!Estimate","Tucson, AZ Metro Area!!Margin of Error","Tulsa, OK Metro Area!!Estimate","Tulsa, OK Metro Area!!Margin of Error"
HOUSING OCCUPANCY,,,,,,,,,,,,,,,,,,,,
    Total housing units,"172,174","±2,319","327,258","±1,153","2,978,861","±1,809","969,534",±725,"4,828,892",±863,"8,083,521","±4,695","418,309",±628,"1,173,622",±584,"484,385",±664,"451,611",±407
        Occupied housing units,"148,995","±3,367","311,530","±3,322","2,731,843","±8,601","906,504","±4,974","4,542,998","±10,740","7,490,498","±17,819","397,769","±3,139","1,073,662","±8,238","445,471","±3,708","411,320","±2,226"
        Vacant housing units,"23,179","±2,604","15,728","±3,456","247,018","±8,751","63,030","±4,914","285,894","±10,894","593,023","±16,504","20,540","±3,015","99,960","±8,185","38,914","±3,661","40,291","±2,152"
        Homeowner vacancy rate,0.9,±0.7,1,±0.5,1.1,±0.2,0.6,±0.2,0.7,±0.1,1,±0.1,0.4,±0.2,1.1,±0.3,0.9,±0.4,1.2,±0.3
        Rental vacancy rate,6.4,±2.3,4.6,±2.0,9.1,±0.5,4.4,±0.7,4,±0.3,2.9,±0.2,4,±1.0,7.5,±1.1,5.6,±1.1,4.2,±0.6
UNITS IN STRUCTURE,,,,,,,,,,,,,,,,,,,,
    Total housing units,"172,174","±2,319","327,258","±1,153","2,978,861","±1,809","969,534",±725,"4,828,892",±863,"8,083,521","±4,695","418,309",±628,"1,173,622",±584,"484,385",±664,"451,611",±407
"        1-unit, detached","95,787","±2,843","223,917","±4,079","1,857,357","±12,763","664,261","±7,248","2,281,547","±17,722","2,806,264","±18,637","295,165","±4,227","681,307","±8,492","295,868","±5,120","321,519","±2,794"
"        1-unit, attached","19,287","±3,072","23,432","±1,983","96,045","±5,795","57,756","±4,324","405,251","±10,794","587,553","±11,864","15,657","±2,104","75,689","±5,709","33,766","±2,702","9,597","±1,265"
        2 units,"8,674","±1,752","4,074","±1,082","37,328","±4,513","18,568","±2,429","119,368","±6,366","798,117","±17,059","4,338","±1,027","13,623","±2,375","7,799","±1,874","5,930",±897
        3 or 4 units,"13,434","±2,080","9,398","±2,025","82,530","±6,486","36,115","±3,555","287,901","±10,138","584,202","±13,252","7,907","±1,514","40,795","±4,273","15,833","±2,406","11,801","±1,252"
        5 to 9 units,"8,505","±1,917","14,054","±2,120","119,773","±6,988","47,107","±4,191","357,841","±11,731","446,971","±13,895","18,050","±2,475","67,182","±6,606","14,614","±2,362","19,418","±1,842"
        10 to 19 units,"8,152","±1,807","18,041","±2,533","207,218","±8,790","46,909","±4,013","337,959","±11,616","437,270","±12,937","26,729","±2,647","87,448","±6,471","24,758","±3,236","25,329","±1,868"
        20 or more units,"12,035","±1,798","26,221","±3,337","442,655","±12,081","83,111","±4,203","944,656","±15,791","2,387,999","±20,803","44,306","±3,859","139,348","±6,413","47,624","±4,106","30,151","±1,502"
        Mobile home,"6,123","±1,389","7,593","±1,410","131,452","±7,436","15,358","±2,046","90,410","±5,114","31,652","±3,022","5,850","±1,189","66,079","±5,022","42,456","±3,731","26,838","±1,606"
"        Boat, RV, van, etc.",177,±296,528,±455,"4,503","±1,456",349,±254,"3,959",±917,"3,493","±1,242",307,±387,"2,151",±913,"1,667",±711,"1,028",±321
YEAR STRUCTURE BUILT,,,,,,,,,,,,,,,,,,,,
    Total housing units,"172,174","±2,319","327,258","±1,153","2,978,861","±1,809","969,534",±725,"4,828,892",±863,"8,083,521","±4,695","418,309",±628,"1,173,622",±584,"484,385",±664,"451,611",±407
        Built 2020 or later,"2,227",±833,"16,223","±2,821","164,698","±9,605","30,132","±3,506","65,305","±5,049","104,660","±5,954","11,499","±1,959","59,123","±4,977","13,754","±2,150","12,660","±1,582"
        Built 2010 to 2019,"20,992","±1,996","42,713","±3,918","573,007","±15,320","93,989","±5,184","283,107","±9,022","486,314","±15,560","47,660","±3,099","198,016","±9,137","40,272","±3,621","53,003","±2,398"
        Built 2000 to 2009,"28,071","±2,584","58,712","±4,088","583,267","±12,629","137,640","±5,566","321,595","±10,886","546,230","±13,276","62,912","±3,401","256,117","±10,436","85,924","±4,956","60,760","±2,477"
        Built 1990 to 1999,"20,062","±2,254","48,099","±3,521","361,865","±11,197","119,989","±5,445","331,325","±9,349","444,779","±11,674","47,074","±3,394","188,120","±9,028","74,995","±4,460","47,710","±2,309"
        Built 1980 to 1989,"40,020","±3,763","48,933","±4,277","401,869","±12,680","114,062","±5,119","602,449","±14,116","634,905","±12,740","37,584","±3,268","207,939","±7,979","83,251","±4,701","61,643","±2,520"
        Built 1970 to 1979,"39,888","±3,303","47,947","±3,500","421,433","±12,334","128,525","±5,586","767,261","±13,719","793,254","±12,636","58,888","±3,717","123,877","±6,922","89,974","±4,454","82,974","±2,828"
        Built 1960 to 1969,"11,803","±1,626","28,462","±3,159","200,638","±8,469","103,382","±4,633","707,840","±12,708","1,064,903","±16,206","44,593","±2,912","60,623","±5,278","38,441","±3,305","44,320","±2,461"
        Built 1950 to 1959,"6,944","±1,401","17,052","±2,092","150,594","±7,239","100,834","±5,654","825,071","±12,088","1,219,445","±16,060","35,442","±2,566","50,860","±3,921","37,636","±3,618","40,278","±1,942"
        Built 1940 to 1949,881,±414,"4,553","±1,322","57,460","±4,070","37,160","±3,304","366,525","±10,380","648,818","±15,441","11,863","±1,742","11,675","±2,476","10,749","±1,836","18,183","±1,048"
        Built 1939 or earlier,"1,286",±709,"14,564","±1,835","64,030","±4,624","103,821","±4,383","558,414","±11,393","2,140,213","±22,497","60,794","±3,246","17,272","±2,859","9,389","±1,906","30,080","±1,605"
ROOMS,,,,,,,,,,,,,,,,,,,,
    Total housing units,"172,174","±2,319","327,258","±1,153","2,978,861","±1,809","969,534",±725,"4,828,892",±863,"8,083,521","±4,695","418,309",±628,"1,173,622",±584,"484,385",±664,"451,611",±407
        1 room,"6,235","±1,367","5,663","±1,462","103,124","±6,714","20,526","±2,957","295,138","±12,013","448,416","±13,709","11,468","±2,078","25,992","±3,212","18,722","±2,830","10,124","±1,284"
